  Lines           Copies        Function name
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<pin_project_lite::__private::UnsafeDropInPlaceGuard<futures_util::future::try_future::into_future::IntoFuture<tower::util::map_err::MapErrFuture<tower::util::map_response::MapResponseFuture<tower_http::cors::ResponseFuture<axum::routing::route::RouteFuture<hyper::body::body::Body,core::convert::Infallible>>,<http::response::Response<http_body::combinators::box_body::UnsyncBoxBody<bytes::bytes::Bytes,axum_core::error::Error>> as axum_core::response::into_response::IntoResponse>::into_response>,<core::convert::Infallible as core::convert::Into<core::convert::Infallible>>::into>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<pin_project_lite::__private::UnsafeDropInPlaceGuard<futures_util::future::try_future::into_future::IntoFuture<tower::util::map_response::MapResponseFuture<axum::middleware::from_fn::ResponseFuture,<http::response::Response<http_body::combinators::box_body::UnsyncBoxBody<bytes::bytes::Bytes,axum_core::error::Error>> as axum_core::response::into_response::IntoResponse>::into_response>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<pin_project_lite::__private::UnsafeDropInPlaceGuard<futures_util::future::try_future::into_future::IntoFuture<tower::util::map_response::MapResponseFuture<axum::routing::route::RouteFuture<hyper::body::body::Body,core::convert::Infallible>,<http::response::Response<http_body::combinators::box_body::UnsyncBoxBody<bytes::bytes::Bytes,axum_core::error::Error>> as axum_core::response::into_response::IntoResponse>::into_response>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<pin_project_lite::__private::UnsafeDropInPlaceGuard<futures_util::future::try_future::into_future::IntoFuture<tower::util::map_response::MapResponseFuture<tower_http::compression::future::ResponseFuture<axum::routing::route::RouteFuture<hyper::body::body::Body,core::convert::Infallible>,tower_http::compression::predicate::DefaultPredicate>,<http::response::Response<tower_http::compression::body::CompressionBody<http_body::combinators::box_body::UnsyncBoxBody<bytes::bytes::Bytes,axum_core::error::Error>>> as axum_core::response::into_response::IntoResponse>::into_response>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<pin_project_lite::__private::UnsafeDropInPlaceGuard<futures_util::future::try_future::into_future::IntoFuture<tower::util::map_response::MapResponseFuture<tower_http::cors::ResponseFuture<axum::routing::route::RouteFuture<hyper::body::body::Body,core::convert::Infallible>>,<http::response::Response<http_body::combinators::box_body::UnsyncBoxBody<bytes::bytes::Bytes,axum_core::error::Error>> as axum_core::response::into_response::IntoResponse>::into_response>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<pin_project_lite::__private::UnsafeDropInPlaceGuard<futures_util::future::try_future::into_future::IntoFuture<tower_http::compression::future::ResponseFuture<axum::routing::route::RouteFuture<hyper::body::body::Body,core::convert::Infallible>,tower_http::compression::predicate::DefaultPredicate>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<pin_project_lite::__private::UnsafeDropInPlaceGuard<futures_util::future::try_future::into_future::IntoFuture<tower_http::cors::ResponseFuture<axum::routing::route::RouteFuture<hyper::body::body::Body,core::convert::Infallible>>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<pin_project_lite::__private::UnsafeOverwriteGuard<futures_util::future::future::map::Map<futures_util::future::try_future::into_future::IntoFuture<axum::middleware::from_fn::ResponseFuture>,futures_util::fns::MapOkFn<<http::response::Response<http_body::combinators::box_body::UnsyncBoxBody<bytes::bytes::Bytes,axum_core::error::Error>> as axum_core::response::into_response::IntoResponse>::into_response>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<pin_project_lite::__private::UnsafeOverwriteGuard<futures_util::future::future::map::Map<futures_util::future::try_future::into_future::IntoFuture<axum::routing::method_routing::MethodRouter<alloc::sync::Arc<stract_core::api::State>>::new::{{closure}}::{{closure}}>,futures_util::fns::MapOkFn<<http::response::Response<http_body::combinators::box_body::UnsyncBoxBody<bytes::bytes::Bytes,axum_core::error::Error>> as axum_core::response::into_response::IntoResponse>::into_response>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<pin_project_lite::__private::UnsafeOverwriteGuard<futures_util::future::future::map::Map<futures_util::future::try_future::into_future::IntoFuture<axum::routing::route::RouteFuture<hyper::body::body::Body,core::convert::Infallible>>,futures_util::fns::MapOkFn<<http::response::Response<http_body::combinators::box_body::UnsyncBoxBody<bytes::bytes::Bytes,axum_core::error::Error>> as axum_core::response::into_response::IntoResponse>::into_response>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<pin_project_lite::__private::UnsafeOverwriteGuard<futures_util::future::future::map::Map<futures_util::future::try_future::into_future::IntoFuture<tower::util::map_err::MapErrFuture<tower::util::map_response::MapResponseFuture<axum::middleware::from_fn::ResponseFuture,<http::response::Response<http_body::combinators::box_body::UnsyncBoxBody<bytes::bytes::Bytes,axum_core::error::Error>> as axum_core::response::into_response::IntoResponse>::into_response>,<core::convert::Infallible as core::convert::Into<core::convert::Infallible>>::into>>,futures_util::fns::MapOkFn<<http::response::Response<http_body::combinators::box_body::UnsyncBoxBody<bytes::bytes::Bytes,axum_core::error::Error>> as axum_core::response::into_response::IntoResponse>::into_response>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<pin_project_lite::__private::UnsafeOverwriteGuard<futures_util::future::future::map::Map<futures_util::future::try_future::into_future::IntoFuture<tower::util::map_err::MapErrFuture<tower::util::map_response::MapResponseFuture<axum::routing::route::RouteFuture<hyper::body::body::Body,core::convert::Infallible>,<http::response::Response<http_body::combinators::box_body::UnsyncBoxBody<bytes::bytes::Bytes,axum_core::error::Error>> as axum_core::response::into_response::IntoResponse>::into_response>,<core::convert::Infallible as core::convert::Into<core::convert::Infallible>>::into>>,futures_util::fns::MapOkFn<<http::response::Response<http_body::combinators::box_body::UnsyncBoxBody<bytes::bytes::Bytes,axum_core::error::Error>> as axum_core::response::into_response::IntoResponse>::into_response>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<pin_project_lite::__private::UnsafeOverwriteGuard<futures_util::future::future::map::Map<futures_util::future::try_future::into_future::IntoFuture<tower::util::map_err::MapErrFuture<tower::util::map_response::MapResponseFuture<tower_http::compression::future::ResponseFuture<axum::routing::route::RouteFuture<hyper::body::body::Body,core::convert::Infallible>,tower_http::compression::predicate::DefaultPredicate>,<http::response::Response<tower_http::compression::body::CompressionBody<http_body::combinators::box_body::UnsyncBoxBody<bytes::bytes::Bytes,axum_core::error::Error>>> as axum_core::response::into_response::IntoResponse>::into_response>,<core::convert::Infallible as core::convert::Into<core::convert::Infallible>>::into>>,futures_util::fns::MapOkFn<<http::response::Response<http_body::combinators::box_body::UnsyncBoxBody<bytes::bytes::Bytes,axum_core::error::Error>> as axum_core::response::into_response::IntoResponse>::into_response>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<pin_project_lite::__private::UnsafeOverwriteGuard<futures_util::future::future::map::Map<futures_util::future::try_future::into_future::IntoFuture<tower::util::map_err::MapErrFuture<tower::util::map_response::MapResponseFuture<tower_http::cors::ResponseFuture<axum::routing::route::RouteFuture<hyper::body::body::Body,core::convert::Infallible>>,<http::response::Response<http_body::combinators::box_body::UnsyncBoxBody<bytes::bytes::Bytes,axum_core::error::Error>> as axum_core::response::into_response::IntoResponse>::into_response>,<core::convert::Infallible as core::convert::Into<core::convert::Infallible>>::into>>,futures_util::fns::MapOkFn<<http::response::Response<http_body::combinators::box_body::UnsyncBoxBody<bytes::bytes::Bytes,axum_core::error::Error>> as axum_core::response::into_response::IntoResponse>::into_response>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<pin_project_lite::__private::UnsafeOverwriteGuard<futures_util::future::future::map::Map<futures_util::future::try_future::into_future::IntoFuture<tower::util::map_response::MapResponseFuture<axum::middleware::from_fn::ResponseFuture,<http::response::Response<http_body::combinators::box_body::UnsyncBoxBody<bytes::bytes::Bytes,axum_core::error::Error>> as axum_core::response::into_response::IntoResponse>::into_response>>,futures_util::fns::MapErrFn<<core::convert::Infallible as core::convert::Into<core::convert::Infallible>>::into>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<pin_project_lite::__private::UnsafeOverwriteGuard<futures_util::future::future::map::Map<futures_util::future::try_future::into_future::IntoFuture<tower::util::map_response::MapResponseFuture<axum::routing::route::RouteFuture<hyper::body::body::Body,core::convert::Infallible>,<http::response::Response<http_body::combinators::box_body::UnsyncBoxBody<bytes::bytes::Bytes,axum_core::error::Error>> as axum_core::response::into_response::IntoResponse>::into_response>>,futures_util::fns::MapErrFn<<core::convert::Infallible as core::convert::Into<core::convert::Infallible>>::into>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<pin_project_lite::__private::UnsafeOverwriteGuard<futures_util::future::future::map::Map<futures_util::future::try_future::into_future::IntoFuture<tower::util::map_response::MapResponseFuture<tower_http::compression::future::ResponseFuture<axum::routing::route::RouteFuture<hyper::body::body::Body,core::convert::Infallible>,tower_http::compression::predicate::DefaultPredicate>,<http::response::Response<tower_http::compression::body::CompressionBody<http_body::combinators::box_body::UnsyncBoxBody<bytes::bytes::Bytes,axum_core::error::Error>>> as axum_core::response::into_response::IntoResponse>::into_response>>,futures_util::fns::MapErrFn<<core::convert::Infallible as core::convert::Into<core::convert::Infallible>>::into>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<pin_project_lite::__private::UnsafeOverwriteGuard<futures_util::future::future::map::Map<futures_util::future::try_future::into_future::IntoFuture<tower::util::map_response::MapResponseFuture<tower_http::cors::ResponseFuture<axum::routing::route::RouteFuture<hyper::body::body::Body,core::convert::Infallible>>,<http::response::Response<http_body::combinators::box_body::UnsyncBoxBody<bytes::bytes::Bytes,axum_core::error::Error>> as axum_core::response::into_response::IntoResponse>::into_response>>,futures_util::fns::MapErrFn<<core::convert::Infallible as core::convert::Into<core::convert::Infallible>>::into>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<pin_project_lite::__private::UnsafeOverwriteGuard<futures_util::future::future::map::Map<futures_util::future::try_future::into_future::IntoFuture<tower_http::compression::future::ResponseFuture<axum::routing::route::RouteFuture<hyper::body::body::Body,core::convert::Infallible>,tower_http::compression::predicate::DefaultPredicate>>,futures_util::fns::MapOkFn<<http::response::Response<tower_http::compression::body::CompressionBody<http_body::combinators::box_body::UnsyncBoxBody<bytes::bytes::Bytes,axum_core::error::Error>>> as axum_core::response::into_response::IntoResponse>::into_response>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<pin_project_lite::__private::UnsafeOverwriteGuard<futures_util::future::future::map::Map<futures_util::future::try_future::into_future::IntoFuture<tower_http::cors::ResponseFuture<axum::routing::route::RouteFuture<hyper::body::body::Body,core::convert::Infallible>>>,futures_util::fns::MapOkFn<<http::response::Response<http_body::combinators::box_body::UnsyncBoxBody<bytes::bytes::Bytes,axum_core::error::Error>> as axum_core::response::into_response::IntoResponse>::into_response>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<reqwest::async_impl::client::Client::request<&alloc::string::String>::{{closure}}>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<scylla::transport::cluster::RefreshRequest>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<scylla::transport::iterator::SingleConnectionRowIteratorWorker<scylla::transport::iterator::RowIterator::new_for_connection_query_iter::{{closure}}::{{closure}}::{{closure}}>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<scylla::transport::iterator::checked_channel_sender::ProvingSender<core::result::Result<scylla::transport::iterator::ReceivedPage,scylla_cql::errors::QueryError>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<scylla::transport::load_balancing::plan::Plan>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<scylla::transport::session::Session::run_query::{{closure}}::{{closure}}::SharedPlan<scylla::transport::load_balancing::plan::Plan>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<scylla::transport::session::TypedRowIter<(uuid::Uuid,)>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<scylla::transport::speculative_execution::Context>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<scylla::utils::pretty::CqlValueDisplayer<scylla_cql::frame::response::result::CqlValue>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<serde::__private::de::content::ContentDeserializer<toml_edit::de::Error>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<serde::de::value::SeqDeserializer<core::iter::adapters::map::Map<alloc::vec::into_iter::IntoIter<serde::__private::de::content::Content>,serde::__private::de::content::ContentDeserializer<toml_edit::de::Error>::new>,toml_edit::de::Error>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<serde::de::value::StringDeserializer<toml_edit::de::Error>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<serde_json::iter::LineColIterator<std::io::Bytes<std::io::buffered::bufreader::BufReader<std::fs::File>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<serde_path_to_error::de::TrackedSeed<core::marker::PhantomData<alloc::string::String>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<serde_path_to_error::de::TrackedSeed<core::marker::PhantomData<alloc::vec::Vec<alloc::string::String>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<serde_path_to_error::de::TrackedSeed<core::marker::PhantomData<bool>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<serde_path_to_error::de::TrackedSeed<core::marker::PhantomData<core::option::Option<alloc::string::String>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<serde_path_to_error::de::TrackedSeed<core::marker::PhantomData<core::option::Option<bool>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<serde_path_to_error::de::TrackedSeed<core::marker::PhantomData<core::option::Option<optics::SiteRankings>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<serde_path_to_error::de::TrackedSeed<core::marker::PhantomData<core::option::Option<usize>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<serde_path_to_error::de::TrackedSeed<core::marker::PhantomData<core::option::Option<webpage::region::Region>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<serde_path_to_error::de::TrackedSeed<core::marker::PhantomData<optics::SiteRankings>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<serde_path_to_error::de::TrackedSeed<core::marker::PhantomData<usize>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<smallvec::SmallVec<[&alloc::sync::Arc<scylla::transport::node::Node>; 8]>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<sonic::Connection<stract_core::entrypoint::crawler::router::service_impl__::RequestRef,stract_core::entrypoint::crawler::router::service_impl__::Response>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<sonic::Connection<stract_core::entrypoint::webgraph_server::service_impl__::RequestRef,stract_core::entrypoint::webgraph_server::service_impl__::Response>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<sonic::ResilientConnection<stract_core::entrypoint::crawler::router::service_impl__::RequestRef,stract_core::entrypoint::crawler::router::service_impl__::Response>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<sonic::ResilientConnection<stract_core::entrypoint::webgraph_server::service_impl__::RequestRef,stract_core::entrypoint::webgraph_server::service_impl__::Response>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<sonic::Server<stract_core::entrypoint::crawler::coordinator::service_impl__::Request,stract_core::entrypoint::crawler::coordinator::service_impl__::Response>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<sonic::Server<stract_core::entrypoint::crawler::router::service_impl__::Request,stract_core::entrypoint::crawler::router::service_impl__::Response>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<sonic::Server<stract_core::entrypoint::search_server::service_impl__::Request,stract_core::entrypoint::search_server::service_impl__::Response>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<sonic::Server<stract_core::entrypoint::webgraph_server::service_impl__::Request,stract_core::entrypoint::webgraph_server::service_impl__::Response>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<sonic::service::ResilientConnection<stract_core::entrypoint::crawler::router::RouterService>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<sonic::service::ResilientConnection<stract_core::entrypoint::webgraph_server::WebGraphService>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::collections::hash::map::HashMap<&str,alloc::collections::btree::set::BTreeSet<usize>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::collections::hash::map::HashMap<&str,alloc::vec::Vec<(scylla::routing::Token,alloc::sync::Arc<scylla::transport::node::Node>)>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::collections::hash::map::HashMap<(alloc::string::String,alloc::string::String),(std::collections::hash::map::HashMap<alloc::string::String,scylla::transport::topology::Column>,std::collections::hash::map::HashMap<i32,alloc::string::String>,std::collections::hash::map::HashMap<i32,alloc::string::String>)>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::collections::hash::map::HashMap<(alloc::string::String,alloc::string::String),core::option::Option<alloc::string::String>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::collections::hash::map::HashMap<(alloc::string::String,alloc::string::String),scylla::transport::topology::Table>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::collections::hash::map::HashMap<alloc::string::String,std::collections::hash::map::HashMap<alloc::string::String,alloc::sync::Arc<scylla::transport::topology::UserDefinedType>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::collections::hash::map::HashMap<alloc::string::String,std::collections::hash::map::HashMap<alloc::string::String,scylla::transport::topology::MaterializedView>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::collections::hash::map::HashMap<alloc::string::String,std::collections::hash::map::HashMap<alloc::string::String,scylla::transport::topology::Table>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::collections::hash::map::HashMap<alloc::sync::Arc<scylla::transport::node::Node>,()>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::collections::hash::map::HashMap<axum::routing::RouteId,axum::routing::Endpoint<alloc::sync::Arc<stract_core::api::State>,hyper::body::body::Body>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::collections::hash::map::HashMap<i32,alloc::string::String>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::collections::hash::map::IntoIter<&str,alloc::collections::btree::set::BTreeSet<usize>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::collections::hash::map::IntoIter<&str,alloc::vec::Vec<(scylla::routing::Token,alloc::sync::Arc<scylla::transport::node::Node>)>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::collections::hash::map::IntoIter<(alloc::string::String,alloc::string::String),(std::collections::hash::map::HashMap<alloc::string::String,scylla::transport::topology::Column>,std::collections::hash::map::HashMap<i32,alloc::string::String>,std::collections::hash::map::HashMap<i32,alloc::string::String>)>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::collections::hash::map::IntoIter<axum::routing::RouteId,axum::routing::Endpoint<(),hyper::body::body::Body>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::collections::hash::map::IntoIter<axum::routing::RouteId,axum::routing::Endpoint<alloc::sync::Arc<stract_core::api::State>,hyper::body::body::Body>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::collections::hash::map::IntoIter<i32,alloc::string::String>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::collections::hash::map::OccupiedEntry<(alloc::string::String,alloc::string::String),(std::collections::hash::map::HashMap<alloc::string::String,scylla::transport::topology::Column>,std::collections::hash::map::HashMap<i32,alloc::string::String>,std::collections::hash::map::HashMap<i32,alloc::string::String>)>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::collections::hash::map::OccupiedEntry<alloc::string::String,()>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::collections::hash::map::OccupiedEntry<alloc::sync::Arc<scylla::transport::node::Node>,()>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::collections::hash::map::VacantEntry<(alloc::string::String,alloc::string::String),(std::collections::hash::map::HashMap<alloc::string::String,scylla::transport::topology::Column>,std::collections::hash::map::HashMap<i32,alloc::string::String>,std::collections::hash::map::HashMap<i32,alloc::string::String>)>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::collections::hash::map::VacantEntry<alloc::string::String,()>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::collections::hash::map::VacantEntry<alloc::string::String,std::collections::hash::map::HashMap<alloc::string::String,alloc::sync::Arc<scylla::transport::topology::UserDefinedType>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::collections::hash::map::VacantEntry<alloc::string::String,std::collections::hash::map::HashMap<alloc::string::String,scylla::transport::topology::MaterializedView>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::collections::hash::map::VacantEntry<alloc::string::String,std::collections::hash::map::HashMap<alloc::string::String,scylla::transport::topology::Table>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::collections::hash::map::VacantEntry<alloc::sync::Arc<scylla::transport::node::Node>,()>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::collections::hash::set::HashSet<stract_core::crawler::Site>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::collections::hash::set::HashSet<url::Url>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::collections::hash::set::IntoIter<chitchat::NodeId>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::collections::hash::set::IntoIter<url::Url>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::io::Bytes<std::io::buffered::bufreader::BufReader<std::fs::File>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::sync::mutex::MutexGuard<scylla::transport::load_balancing::plan::Plan>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::sync::mutex::MutexGuard<stract_core::api::user_count::InnerUserCount<stract_core::api::user_count::Daily>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::sync::poison::PoisonError<std::sync::mutex::MutexGuard<scylla::transport::load_balancing::plan::Plan>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<std::sync::poison::PoisonError<tokio::loom::std::parking_lot::RwLockWriteGuard<std::collections::hash::set::HashSet<core::net::socket_addr::SocketAddr>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<stract_core::api::search::EntityImageParams>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<stract_core::api::sites::SitesExportOpticParams>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<stract_core::api::user_count::UserCount<stract_core::api::user_count::Daily>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<stract_core::api::webgraph::RemoteWebgraph>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<stract_core::api::webgraph::host::HostLinksParams>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<stract_core::api::webgraph::host::KnowsSiteParams>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<stract_core::api::webgraph::host::SimilarSitesParams>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<stract_core::api::webgraph::page::PageLinksParams>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<stract_core::autosuggest::Autosuggest>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<stract_core::crawler::coordinator::CrawlCoordinator>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<stract_core::crawler::crawl_db::DomainStateDb>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<stract_core::crawler::router::Router>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<stract_core::entrypoint::crawler::coordinator::CoordinatorService>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<stract_core::entrypoint::crawler::router::RouterService>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<stract_core::ranking::models::linear::SerialziedLinearRegression>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<stract_core::summarizer::AbstractiveSummarizer>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<stract_core::summarizer::ExtractiveSummarizer>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<stract_core::widgets::calculator::Calculator>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<sync_wrapper::SyncWrapper<axum::routing::path_router::PathRouter<(),hyper::body::body::Body,_>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<sync_wrapper::SyncWrapper<tokio_stream::stream_ext::map::Map<tokio_stream::stream_ext::map::Map<async_stream::async_stream::AsyncStream<alloc::string::String,stract_core::api::summarize::summarize::{{closure}}::{{closure}}>,stract_core::api::summarize::summarize::{{closure}}::{{closure}}>,core::result::Result<axum::response::sse::Event,core::convert::Infallible>::Ok>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<tokio::loom::std::parking_lot::RwLockWriteGuard<std::collections::hash::set::HashSet<core::net::socket_addr::SocketAddr>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<tokio::loom::std::unsafe_cell::UnsafeCell<tokio::runtime::task::core::Stage<chitchat::server::dns_refresh_loop::{{closure}}>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<tokio::loom::std::unsafe_cell::UnsafeCell<tokio::runtime::task::core::Stage<chitchat::server::spawn_chitchat::{{closure}}::{{closure}}>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<tokio::loom::std::unsafe_cell::UnsafeCell<tokio::runtime::task::core::Stage<core::pin::Pin<alloc::boxed::Box<chitchat::server::dns_refresh_loop::{{closure}}>>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<tokio::loom::std::unsafe_cell::UnsafeCell<tokio::runtime::task::core::Stage<core::pin::Pin<alloc::boxed::Box<chitchat::server::spawn_chitchat::{{closure}}::{{closure}}>>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<tokio::loom::std::unsafe_cell::UnsafeCell<tokio::runtime::task::core::Stage<core::pin::Pin<alloc::boxed::Box<distributed::cluster::Cluster::join::{{closure}}::{{closure}}>>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<tokio::loom::std::unsafe_cell::UnsafeCell<tokio::runtime::task::core::Stage<core::pin::Pin<alloc::boxed::Box<hyper::proto::h2::server::H2Stream<axum::routing::route::RouteFuture<hyper::body::body::Body,core::convert::Infallible>,http_body::combinators::box_body::UnsyncBoxBody<bytes::bytes::Bytes,axum_core::error::Error>>>>>>>
        5 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<tokio::loom::std::unsafe_cell::UnsafeCell<tokio::runtime::task::core::Stage<core::pin::Pin<alloc::boxed::Box<hyper::server::server::new_svc::NewSvcTask<hyper::server::tcp::addr_stream::AddrStream,axum::extract::connect_info::ResponseFuture<axum::routing::Router,core::net::socket_addr::SocketAddr>,axum::extension::AddExtension<axum::routing::Router,axum::extract::connect_info::ConnectInfo<core::net::socket_addr::SocketAddr>>,hyper::common::exec::Exec,hyper::server::server::NoopWatcher>>>>>>
